id,name,protein,dietary_fiber,sugar,category_id
183,＜畜肉類＞　ぶた　［中型種肉］　かた　赤肉　生,21.4,0,0,1
184,＜畜肉類＞　ぶた　［中型種肉］　かた　脂身　生,4.9,0,0,1
185,＜畜肉類＞　ぶた　［中型種肉］　かたロース　脂身つき　生,17.7,0,0,1
186,＜畜肉類＞　ぶた　［中型種肉］　かたロース　皮下脂肪なし　生,18.5,0,0,1
187,＜畜肉類＞　ぶた　［中型種肉］　かたロース　赤肉　生,20.6,0,0,1
188,＜畜肉類＞　ぶた　［中型種肉］　かたロース　脂身　生,5.4,0,0,1
189,＜畜肉類＞　ぶた　［中型種肉］　ロース　脂身つき　生,18.3,0,0.2,1
190,＜畜肉類＞　ぶた　［中型種肉］　ロース　皮下脂肪なし　生,20.6,0,0.2,1
191,＜畜肉類＞　ぶた　［中型種肉］　ロース　赤肉　生,22.9,0,0.2,1
192,＜畜肉類＞　ぶた　［中型種肉］　ロース　脂身　生,4.1,0,0,1
193,＜畜肉類＞　ぶた　［中型種肉］　ばら　脂身つき　生,13.4,0,0,1
194,＜畜肉類＞　ぶた　［中型種肉］　もも　脂身つき　生,19.5,0,0.2,1
195,＜畜肉類＞　ぶた　［中型種肉］　もも　皮下脂肪なし　生,21.3,0,0.2,1
196,＜畜肉類＞　ぶた　［中型種肉］　もも　赤肉　生,21.9,0,0.2,1
197,＜畜肉類＞　ぶた　［中型種肉］　もも　脂身　生,5.2,0,0,1
198,＜畜肉類＞　ぶた　［中型種肉］　そともも　脂身つき　生,18.0,0,0.2,1
199,＜畜肉類＞　ぶた　［中型種肉］　そともも　皮下脂肪なし　生,21.0,0,0.2,1
200,＜畜肉類＞　ぶた　［中型種肉］　そともも　赤肉　生,21.9,0,0.2,1
201,＜畜肉類＞　ぶた　［中型種肉］　そともも　脂身　生,4.9,0,0,1
202,＜畜肉類＞　ぶた　［中型種肉］　ヒレ　赤肉　生,22.7,0,0.1,1
203,＜畜肉類＞　ぶた　［ひき肉］　生,17.7,0,0.1,1
204,＜畜肉類＞　ぶた　［ひき肉］　焼き,25.7,0,0.1,1
205,＜畜肉類＞　ぶた　［副生物］　舌　生,15.9,0,0.1,1
206,＜畜肉類＞　ぶた　［副生物］　心臓　生,16.2,0,0.1,1
207,＜畜肉類＞　ぶた　［副生物］　肝臓　生,20.4,0,2.5,1
208,＜畜肉類＞　ぶた　［副生物］　じん臓　生,14.1,0,0,1
209,＜畜肉類＞　ぶた　［副生物］　胃　ゆで,17.4,0,0,1
210,＜畜肉類＞　ぶた　［副生物］　小腸　ゆで,14.0,0,0,1
211,＜畜肉類＞　ぶた　［副生物］　大腸　ゆで,11.7,0,0,1
212,＜畜肉類＞　ぶた　［副生物］　子宮　生,14.6,0,0,1
213,＜畜肉類＞　ぶた　［副生物］　豚足　ゆで,20.1,0,0,1
214,＜畜肉類＞　ぶた　［副生物］　軟骨　ゆで,17.8,0,0,1
215,＜畜肉類＞　ぶた　［ハム類］　骨付きハム,16.7,0,0.8,1
216,＜畜肉類＞　ぶた　［ハム類］　ボンレスハム,18.7,0,1.8,1
217,＜畜肉類＞　ぶた　［ハム類］　ロースハム　ロースハム,18.6,0,2,1
218,＜畜肉類＞　ぶた　［ハム類］　ロースハム　ゆで,19.7,0,1.6,1
219,＜畜肉類＞　ぶた　［ハム類］　ロースハム　焼き,23.6,0,2.4,1
220,＜畜肉類＞　ぶた　［ハム類］　ロースハム　フライ,17.3,0,20,1
221,＜畜肉類＞　ぶた　［ハム類］　ショルダーハム,16.1,0,0.6,1
222,＜畜肉類＞　ぶた　［ハム類］　生ハム　促成,24.0,0,0.5,1
223,＜畜肉類＞　ぶた　［ハム類］　生ハム　長期熟成,25.7,0,0,1
224,＜畜肉類＞　ぶた　［プレスハム類］　プレスハム,15.4,0,3.9,1
225,＜畜肉類＞　ぶた　［プレスハム類］　チョップドハム,11.7,0,12.7,1
226,＜畜肉類＞　ぶた　［ベーコン類］　ばらベーコン,12.9,0,0.3,1
227,＜畜肉類＞　ぶた　［ベーコン類］　ロースベーコン,16.8,0,3.2,1
228,＜畜肉類＞　ぶた　［ベーコン類］　ショルダーベーコン,17.2,0,2.5,1
229,＜畜肉類＞　ぶた　［ソーセージ類］　ウインナーソーセージ　ウインナーソーセージ,11.5,0,3.3,1
230,＜畜肉類＞　ぶた　［ソーセージ類］　ウインナーソーセージ　ゆで,12.1,0,1.4,1
231,＜畜肉類＞　ぶた　［ソーセージ類］　ウインナーソーセージ　焼き,13.0,0,2.4,1
232,＜畜肉類＞　ぶた　［ソーセージ類］　ウインナーソーセージ　フライ,12.8,0,0,1
233,＜畜肉類＞　ぶた　［ソーセージ類］　セミドライソーセージ,16.9,0,2.9,1
234,＜畜肉類＞　ぶた　［ソーセージ類］　ドライソーセージ,26.7,0,2.6,1
235,＜畜肉類＞　ぶた　［ソーセージ類］　フランクフルトソーセージ,12.7,0,6.2,1
236,＜畜肉類＞　ぶた　［ソーセージ類］　ボロニアソーセージ,12.5,0,2.9,1
237,＜畜肉類＞　ぶた　［ソーセージ類］　リオナソーセージ,14.9,0,3.7,1
238,＜畜肉類＞　ぶた　［ソーセージ類］　レバーソーセージ,14.7,0,1.9,1
239,＜畜肉類＞　ぶた　［ソーセージ類］　混合ソーセージ,11.8,0,4.7,1
240,＜畜肉類＞　ぶた　［ソーセージ類］　生ソーセージ,14.0,0,0.8,1
241,＜畜肉類＞　ぶた　［その他］　焼き豚,19.4,0,5.1,1
242,＜畜肉類＞　ぶた　［その他］　レバーペースト,12.9,0,3.6,1
243,＜畜肉類＞　ぶた　［その他］　スモークレバー,29.6,0,2.6,1
244,＜畜肉類＞　ぶた　［その他］　ゼラチン,87.6,0,0,1
245,＜畜肉類＞　めんよう　［マトン］　ロース　脂身つき　生,19.3,0,0.2,1
246,＜畜肉類＞　めんよう　［マトン］　ロース　脂身つき　焼き,25.8,0,0.2,1
247,＜畜肉類＞　めんよう　［マトン］　ロース　皮下脂肪なし　生,22.2,0,0,1
248,＜畜肉類＞　めんよう　［マトン］　もも　脂身つき　生,18.8,0,0.1,1
249,＜畜肉類＞　めんよう　［ラム］　かた　脂身つき　生,17.1,0,0.1,1
250,＜畜肉類＞　めんよう　［ラム］　ロース　脂身つき　生,15.6,0,0.2,1
251,＜畜肉類＞　めんよう　［ラム］　ロース　脂身つき　焼き,21.8,0,0.2,1
252,＜畜肉類＞　めんよう　［ラム］　ロース　皮下脂肪なし　生,22.3,0,0,1
253,＜畜肉類＞　めんよう　［ラム］　もも　脂身つき　生,20.0,0,0.3,1
254,＜畜肉類＞　めんよう　［ラム］　もも　脂身つき　焼き,28.6,0,0.3,1
255,＜畜肉類＞　めんよう　混合プレスハム,14.4,0,3,1
256,＜畜肉類＞　やぎ　肉　赤肉　生,21.9,0,0.2,1
257,＜鳥肉類＞　うずら　肉　皮つき　生,20.5,0,0.1,1
258,＜鳥肉類＞　がちょう　フォアグラ　ゆで,8.3,0,1.5,1
259,＜鳥肉類＞　かも　まがも　肉　皮なし　生,23.6,0,0.1,1
260,＜鳥肉類＞　かも　あいがも　肉　皮つき　生,14.2,0,0.1,1
261,＜鳥肉類＞　かも　あひる　肉　皮つき　生,14.9,0,0.1,1
262,＜鳥肉類＞　かも　あひる　肉　皮なし　生,20.1,0,0.2,1
263,＜鳥肉類＞　かも　あひる　皮　生,7.3,0,0,1
264,＜鳥肉類＞　きじ　肉　皮なし　生,23.0,0,0.1,1
265,＜鳥肉類＞　しちめんちょう　肉　皮なし　生,23.5,0,0.1,1
266,＜鳥肉類＞　すずめ　肉　骨・皮つき　生,18.1,0,0.1,1
267,＜鳥肉類＞　にわとり　［親・主品目］　手羽　皮つき　生,23.0,0,0,1
268,＜鳥肉類＞　にわとり　［親・主品目］　むね　皮つき　生,19.5,0,0,1
269,＜鳥肉類＞　にわとり　［親・主品目］　むね　皮なし　生,24.4,0,0,1
270,＜鳥肉類＞　にわとり　［親・主品目］　もも　皮つき　生,17.3,0,0,1
271,＜鳥肉類＞　にわとり　［親・主品目］　もも　皮なし　生,22.0,0,0,1
272,＜鳥肉類＞　にわとり　［親・副品目］　ささみ　生,24.6,0,0,1
273,＜鳥肉類＞　にわとり　［若どり・主品目］　手羽　皮つき　生,17.8,0,0,1
274,＜鳥肉類＞　にわとり　［若どり・主品目］　手羽さき　皮つき　生,17.4,0,0,1
275,＜鳥肉類＞　にわとり　［若どり・主品目］　手羽もと　皮つき　生,18.2,0,0,1
276,＜鳥肉類＞　にわとり　［若どり・主品目］　むね　皮つき　生,21.3,0,0.1,1
277,＜鳥肉類＞　にわとり　［若どり・主品目］　むね　皮つき　焼き,34.7,0,0.1,1
278,＜鳥肉類＞　にわとり　［若どり・主品目］　むね　皮なし　生,23.3,0,0.1,1
279,＜鳥肉類＞　にわとり　［若どり・主品目］　むね　皮なし　焼き,38.8,0,0.1,1
280,＜鳥肉類＞　にわとり　［若どり・主品目］　もも　皮つき　生,16.6,0,0,1
281,＜鳥肉類＞　にわとり　［若どり・主品目］　もも　皮つき　ゆで,22.0,0,0,1
282,＜鳥肉類＞　にわとり　［若どり・主品目］　もも　皮つき　焼き,26.3,0,0,1
283,＜鳥肉類＞　にわとり　［若どり・主品目］　もも　皮つき　から揚げ,24.2,0.8,12.5,1
284,＜鳥肉類＞　にわとり　［若どり・主品目］　もも　皮なし　生,19.0,0,0,1
285,＜鳥肉類＞　にわとり　［若どり・主品目］　もも　皮なし　ゆで,25.1,0,0,1
286,＜鳥肉類＞　にわとり　［若どり・主品目］　もも　皮なし　焼き,25.5,0,0,1
287,＜鳥肉類＞　にわとり　［若どり・主品目］　もも　皮なし　から揚げ,25.4,0.9,11.8,1
288,＜鳥肉類＞　にわとり　［若どり・副品目］　ささみ　生,23.9,0,0.1,1
289,＜鳥肉類＞　にわとり　［若どり・副品目］　ささみ　ゆで,29.6,0,0,1
290,＜鳥肉類＞　にわとり　［若どり・副品目］　ささみ　焼き,31.7,0,0,1
291,＜鳥肉類＞　にわとり　［若どり・副品目］　ささみ　ソテー,36.1,0,0.1,1
